WikiID,Entity,Type
Q191441,Zeppelin tower,Monument
Q1916045,Medea statue,Monument
Q191938,Zero Milestone,Monument
Q1930175,Michaelsbrunnen,Monument
Q1934670,Royal Palace of Olite,Monument
Q1952424,Convento de Santa Clara,Monument
Q1952787,Mungo Park Memorial,Monument
Q1954226,Museo Arqueológico y de Historia de Elche,Monument
Q1955435,Monasterio de San Jerónimo,Monument
Q1958231,Forged figures park in Donetsk,Monument
Q1964983,Napoleonstein,Monument
Q1968348,Castillo de Elda,Monument
Q1970857,Fascism victims monument in Donetsk,Monument
Q1971854,Naulila Monument,Monument
Q1984155,Circus Maximus,Monument
Q1985588,Ancient Roman circus of Toletum,Monument
Q1987294,Stepan Bandera monument in Lviv,Monument
Q1997245,Santa Maria del Parral,Monument
Q1999259,Fuente del Ángel Caído,Monument
Q2000846,Peace Arch,Monument
Q2004326,Immaculate Conception Church,Monument
Q2023741,Roman arch of Medinaceli,Monument
Q2024954,Yama,Monument
Q2027162,Gateway Arch,Monument
Q2037255,Hospital de Tavera,Monument
Q203741,Monastery of San Miguel de Escalada,Monument
Q2037523,Monument to the Tsar Liberator,Monument
Q2041298,"Monastery of Santa María, Barria",Monument
Q2042926,Russian Monument,Monument
Q2046820,Palace of los Condes de Gómara,Monument
Q2046822,Palacio de los duques de Alba,Monument
Q205136,Cathedral of Santiago de Compostela,Monument
Q2053265,Iglesia de San Francisco de Asís,Monument
Q205524,Royal Convent of La Encarnación,Monument
Q2055623,Puente del Paso Honroso,Monument
Q2056706,Site John McCrae,Monument
Q2058463,Paul-Arnsberg-Memorial,Monument
Q2059896,Tree of Sadness,Monument
Q206258,Citadel of Pamplona,Monument
Q2063737,Victory Monument,Monument
Q2065740,Peace Monument,Monument
Q2067794,Church of St John the Baptist,Monument
Q2068527,"Vissersmonument, Moddergat",Monument
Q2073372,Peter-Altmeier-Denkmal in Koblenz,Monument
Q2073408,Castillo de San Juan Bautista,Monument
Q207870,La Pedrera,Monument
Q2081756,Monument to Nicholas I,Monument
Q2081919,Peña Tú,Monument
Q2083566,Sydney Gay and Lesbian Holocaust Memorial,Monument
Q2086229,Vlietermonument,Monument
Q2098885,The Square Of The Invisible Monument,Monument
Q2109151,Preußensäule,Monument
Q2110523,Prinz-Albrecht-von-Preußen-Denkmal,Monument
Q211250,Teatro Real,Monument
Q211252,Madinat Al-Zahra,Monument
Q2115110,Mystery Play of Elche,Monument
Q2117586,Sant Climent de Taüll,Monument
Q2121822,Victory Monument in Netanya,Monument
Q2121994,Quailey's Hill Memorial,Monument
Q212625,Alcázar Nuevo,Monument
Q212867,Park Güell,Monument
Q2132667,Rathausmann,Monument
Q2142100,Reiterdenkmal Friedrich Franz II. (Schwerin),Monument
Q2142113,"Reiterdenkmal, Windhoek",Monument
Q2148898,Richard Wagner Monument,Monument
Q216185,Charing Cross,Monument
Q2162157,Rohanský kámen,Monument
Q2163496,Museo de Bellas Artes de Sevilla,Monument
Q2165207,Rommenhöller-Denkmal,Monument
Q2167317,Sanctuary of Loyola,Monument
Q2177261,Millennium of Russia,Monument
Q2185489,Pechiguera Lighthouse,Monument
Q218606,Gedenkstein,Monument
Q2188516,Pointe du Hoc American Monument,Monument
Q2188843,Grondwetbank,Monument
Q2196230,Emma Monument,Monument
Q2202689,Röntgendenkmal,Monument
Q2203571,Monument of the dynasty,Monument
Q2211964,Saha Chat monument,Monument
Q2219936,Colegiata de San Pedro de Teverga,Monument
Q2220100,"Church of San Tirso, Oviedo",Monument
Q2220387,Sandakan Massacre Memorial,Monument
Q2220587,Heroes Monument,Monument
Q2223549,Church of Santiago de Gobiendes,Monument
Q2223563,Church of San Juan Apóstol y Evangelista,Monument
Q2223706,Santo Tomás de las Ollas,Monument
Q2224689,Spiegelmonument,Monument
Q2235653,Schill-Denkmal,Monument
